500 4 4
59 37 25 62
43 94 28 10
97 93 41 53
80 46 86 3
52 63 87 79
29 77 17 95
59 15 48 40
83 42 21 79
36 73 11 16
49 71 17 72
48 20 82 28
26 12 10 33
55 32 42 69
39 99 80 10
31 83 9 21
79 76 52 96
100 69 78 36
84 63 70 49
56 20 75 42
33 20 93 67
34 7 63 93
49 49 69 44
50 70 55 93
41 61 64 48
58 12 32 44
30 66 50 90
57 34 85 12
20 81 85 83
55 23 21 4
26 72 32 96
94 99 90 93
75 56 99 70
61 93 37 57
30 37 2 42
60 15 85 96
97 58 82 88
20 15 99 46
34 85 27 91
49 73 85 22
68 58 78 90
77 56 29 37
67 75 23 74
29 23 79 89
52 92 7 8
44 77 22 16
31 64 15 28
13 93 15 57
89 40 99 28
2 65 61 62
77 10 59 25
100 56 52 59
68 58 7 83
84 43 14 48
84 55 58 34
14 92 21 91
15 24 42 8
87 100 72 23
73 38 27 83
7 99 47 94
55 43 85 9
71 95 76 20
20 9 62 55
60 1 94 2
85 65 20 6
87 80 78 45
10 60 58 82
50 2 60 83
22 54 50 85
83 98 93 92
90 48 30 72
13 40 93 41
70 78 33 18
48 4 89 36
62 58 74 31
75 83 67 19
56 46 95 2
33 55 64 61
68 43 47 30
83 30 74 51
80 72 68 55
6 26 59 56
30 99 78 57
89 51 73 26
42 77 2 43
86 93 60 50
68 31 91 11
54 32 59 1
84 22 6 58
15 46 43 18
77 49 77 88
92 61 86 15
99 85 63 20
2 68 100 17
88 49 63 12
32 14 16 60
66 59 67 46
7 36 2 6
80 30 33 47
35 90 16 58
44 100 40 27
1 100 60 85
82 96 50 64
15 37 79 82
98 91 72 83
63 78 11 24
19 90 27 82
14 35 100 95
80 65 37 21
55 30 3 7
54 18 2 68
92 68 75 25
42 38 35 72
25 43 9 68
76 1 59 13
68 46 51 61
9 98 6 31
3 2 34 47
77 18 50 57
68 26 95 89
75 8 76 75
18 77 62 24
75 82 70 5
27 74 31 39
70 67 71 87
98 75 81 89
36 96 31 82
7 38 76 83
40 82 62 54
8 30 60 85
33 51 85 76
61 47 54 37
5 98 83 76
64 50 100 77
3 5 50 28
9 33 12 16
25 37 74 43
81 96 34 6
46 95 87 13
73 73 6 94
45 2 99 26
98 31 6 67
24 40 68 51
8 55 95 14
56 83 92 40
45 86 96 68
94 71 12 27
5 67 98 6
23 32 77 11
79 9 28 15
46 51 3 37
89 2 71 56
33 36 14 26
61 22 14 80
75 28 71 29
77 1 37 80
14 62 14 81
12 68 92 89
56 73 68 93
44 91 34 47
73 4 94 11
96 59 96 99
59 55 95 27
44 82 27 12
99 91 91 21
94 18 21 98
55 93 30 59
38 45 30 100
90 9 10 98
2 27 16 80
74 56 7 52
80 54 93 91
49 74 50 28
9 55 73 56
49 32 92 47
9 10 1 61
94 28 48 83
19 6 52 41
11 48 17 9
94 24 33 26
44 78 4 24
38 41 91 64
71 60 4 99
92 91 41 42
18 60 24 69
7 19 58 68
55 86 46 51
59 13 86 1
9 56 54 80
6 13 85 22
24 26 92 79
67 19 88 90
