400 4 4
47 57 34 16
57 86 33 91
33 38 83 87
34 6 42 62
6 80 26 32
39 30 46 4
18 57 51 69
80 25 55 65
19 84 19 82
17 91 18 62
64 45 84 97
86 60 26 3
92 100 28 52
16 28 27 53
12 22 98 36
67 50 38 17
31 1 45 32
47 93 66 12
12 38 92 84
2 31 85 30
40 8 86 4
75 20 32 38
38 48 12 45
80 92 22 56
62 38 77 32
45 57 75 6
67 38 84 31
15 100 27 32
17 30 54 79
13 5 62 30
86 66 79 23
5 55 81 32
81 11 100 27
28 90 1 40
63 61 47 54
59 7 47 7
66 41 91 30
34 47 83 1
36 36 82 48
69 5 88 6
33 99 89 63
13 42 82 43
74 50 57 88
54 10 59 21
8 47 39 7
47 93 69 41
55 95 89 38
42 37 59 18
42 37 8 32
29 37 89 1
19 28 78 90
27 67 48 90
56 95 36 17
86 3 55 97
27 24 69 71
68 76 21 90
45 44 28 57
52 20 98 15
7 81 93 71
53 45 54 95
61 11 48 18
57 27 33 43
1 38 31 32
17 89 2 44
51 68 72 82
64 36 91 78
97 57 53 55
20 53 74 11
82 60 27 27
17 82 57 67
68 4 87 77
68 38 54 49
19 63 91 6
42 30 80 76
87 3 57 57
19 97 99 69
82 33 94 59
62 74 84 88
60 85 48 31
8 48 91 94
68 85 58 25
61 79 56 20
28 13 53 89
65 68 61 42
46 58 51 87
59 33 32 94
82 4 33 4
62 2 61 86
10 17 86 13
40 34 62 97
61 15 66 94
37 46 20 49
24 35 13 34
90 80 72 12
54 40 10 36
52 59 37 69
5 16 78 20
91 6 98 45
82 67 51 3
40 34 67 97
5 97 66 85
21 16 33 99
94 42 65 67
69 4 37 75
41 89 100 97
12 63 35 65
31 95 69 13
3 15 56 35
8 98 49 19
8 31 46 53
15 74 87 28
82 17 63 90
47 88 70 46
93 57 75 39
1 42 92 94
92 37 58 39
3 21 67 79
12 52 100 55
53 80 84 61
64 65 75 59
22 37 87 95
56 76 19 91
82 52 27 23
52 19 41 23
55 16 23 55
51 99 32 40
16 79 26 67
47 27 77 100
91 78 71 100
8 21 69 61
21 72 70 38
73 86 78 74
95 63 75 98
72 80 40 80
62 78 6 67
5 37 42 57
87 48 39 67
34 9 49 10
11 82 85 20
83 23 77 11
13 52 21 57
47 99 14 7
97 20 34 3
49 56 52 68
62 71 97 4
1 96 59 48
5 51 5 98
64 64 34 66
79 1 8 43
99 4 6 47
6 45 47 51
64 63 63 65
16 90 67 96
97 32 45 86
54 17 57 85
91 94 16 99
86 86 64 15
47 41 8 90
98 88 53 71
60 83 5 94
53 9 24 5
92 35 3 15
69 90 21 27
4 83 68 29
21 9 60 94
79 52 72 81
83 93 94 69
52 25 94 62
66 67 79 94
18 97 99 12
12 83 100 91
93 49 38 94
60 74 90 100
52 83 41 33
78 56 37 99
62 57 76 9
43 43 63 80
84 5 18 63
9 67 27 69
19 34 40 37
85 10 83 12
12 26 14 69
26 92 88 72
50 99 100 7
98 71 58 4
12 97 44 19
86 49 92 7
55 17 27 14
33 97 32 61
43 84 31 89
52 28 34 8
67 45 3 79
32 93 38 37
93 37 52 76
33 80 92 64
50 43 4 28
62 32 59 38
41 58 87 59
37 19 3 3
33 9 36 49
8 32 41 2
74 16 39 73
96 81 12 95
23 85 51 89
45 14 95 34
8 60 65 26
16 93 59 20
46 91 2 11
66 93 66 23
70 80 67 26
85 2 26 52
78 23 86 99
94 56 87 2
80 58 2 61
10 16 17 10
3 78 26 27
49 79 94 2
98 80 44 79
17 98 20 21
48 53 39 63
100 19 35 44
71 33 74 25
73 82 79 55
61 62 46 51
66 49 33 20
37 52 17 81
76 35 53 73
58 25 63 20
7 74 50 24
44 72 7 57
66 38 100 39
13 84 35 72
66 85 93 60
13 15 100 90
3 22 29 51
19 90 59 3
1 90 36 5
15 84 15 91
63 17 83 38
91 8 41 91
55 92 77 56
9 99 23 2
9 60 98 72
42 95 39 27
35 40 2 14
72 33 61 98
